Codes Fédé,Fédérations françaises agréées en 2018,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,54,1559,9499,6015,1970,1809,1858,1934,2381,2809,2707,2253,1742,1141,515,183,71,19079,57579
108,FF de cyclisme,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,374,11466,21746,14159,4747,3726,3924,4768,6259,8008,6588,5573,4616,4076,2449,826,512,1,103818
,Licences féminines,,81,1259,2279,1495,563,447,475,684,1017,1131,913,642,482,415,245,66,56,0,12250
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,455,12725,24025,15654,5310,4173,4399,5452,7276,9139,7501,6215,5098,4491,2694,892,568,1,116068
109,FF d'équitation,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2165,20657,19965,9656,4755,4521,4577,4532,4656,5744,5986,6106,5368,4158,2551,848,361,0,106606
,Licences féminines,,4484,82776,154197,105786,42046,31663,22104,17635,14964,15494,12112,8935,5227,2596,1151,351,133,2,521656
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,6649,103433,174162,115442,46801,36184,26681,22167,19620,21238,18098,15041,10595,6754,3702,1199,494,2,628262
110,FF d'escrime,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,142,10326,13736,5347,1500,1462,1297,1144,1192,1352,1050,771,530,348,235,92,82,11,40617
,Licences féminines,,46,2423,4936,2531,813,813,626,636,782,821,666,457,267,186,113,42,43,14,16215
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,188,12749,18672,7878,2313,2275,1923,1780,1974,2173,1716,1228,797,534,348,134,125,25,56832
111,FF de football,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,294928,467373,283716,176091,165501,138226,117255,93279,79467,52157,31703,19868,14282,8051,2705,1455,221,1946278
,Licences féminines,,0,16707,41626,31790,15999,13527,9141,8045,7588,6608,4471,2713,1855,1336,778,231,114,4,162533
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,311635,508999,315506,192090,179028,147367,125300,100867,86075,56628,34416,21723,15618,8829,2936,1569,225,2108811
112,FF des sports de glace,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,78,767,703,400,206,159,129,109,171,203,138,111,92,93,74,23,9,1,3466
,Licences féminines,,308,6584,8154,3705,916,603,442,481,464,402,296,174,116,64,60,21,13,22,22825
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,386,7351,8857,4105,1122,762,571,590,635,605,434,285,208,157,134,44,22,23,26291
113,FF de gymnastique,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,11806,18497,11449,5744,1769,1185,882,904,979,1162,870,666,594,525,435,222,177,0,57866
,Licences féminines,,18979,95719,83828,23947,4818,3115,3184,4385,4547,4366,3214,2495,2238,2067,1384,668,445,0,259399
,Licences non réparties,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
,Sous/Total,,30785,114216,95277,29692,6587,4300,4066,5289,5526,5528,4084,3161,2832,2592,1819,890,622,4,317270
114,FF d'haltérophilie - musculation,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,23,43,366,2063,2313,1903,1498,1208,1122,1151,998,937,836,722,471,232,163,0,16049
,Licences féminines,,8,34,194,978,1045,900,778,799,787,997,951,758,688,549,296,118,54,0,9934
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,31,77,560,3041,3358,2803,2276,2007,1909,2148,1949,1695,1524,1271,767,350,217,0,25983
115,FF de handball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Licences féminines,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Licences non réparties,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549295,549295
,Sous/Total,(E) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549295,549295
116,FF de hockey,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,59,2164,3743,1966,792,758,621,552,587,475,313,178,126,85,59,16,5,0,12499
,Licences féminines,,17,672,1583,832,308,276,189,152,201,171,129,42,17,12,9,1,5,0,4616
,Licences non réparties,,0,0,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,9
,Sous/Total,,76,2836,5330,2800,1100,1034,810,706,788,647,442,220,143,97,68,17,10,0,17124
117,"FF de judo-jujitsu, kendo et disciplines associées",,,,,,,,,,,,,,,,,,,,
,Licences masculines,,5203,182884,91547,30283,9037,6979,7812,9596,10832,10765,7708,5644,3612,2285,1622,664,486,30,386989
,Licences féminines,,2245,61871,36889,13689,4035,3245,4238,6828,7644,7006,4744,3062,2018,1283,720,260,178,10,159965
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,7448,244755,128436,43972,13072,10224,12050,16424,18476,17771,12452,8706,5630,3568,2342,924,664,40,546954
118,FF de lutte,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,155,3656,3320,1957,1116,1121,1101,967,792,522,333,242,175,108,77,43,38,0,15723
,Licences féminines,,59,1067,958,536,259,243,244,288,263,256,196,123,87,55,30,20,10,0,4694
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,214,4723,4278,2493,1375,1364,1345,1255,1055,778,529,365,262,163,107,63,48,0,20417
119,FF de natation ,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,4109,39713,35791,13204,2707,2568,2719,3121,3788,4075,3169,2158,1428,958,577,231,162,5,120483
,Licences féminines,,3730,42600,41119,12507,2468,2733,3032,4344,5552,6446,6099,5735,4930,4159,2792,1163,663,3,150075
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38305,38305
,Sous/Total,,7839,82313,76910,25711,5175,5301,5751,7465,9340,10521,9268,7893,6358,5117,3369,1394,825,38313,308863
120,FF de pentathlon moderne,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1,196,417,139,38,29,23,35,61,81,68,37,13,8,7,5,6,0,1164
,Licences féminines,,0,83,307,139,37,33,19,29,47,67,45,31,14,3,0,1,1,0,856
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,1,279,724,278,75,62,42,64,108,148,113,68,27,11,7,6,7,0,2020
121,FF de ski,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,162,8270,13038,7268,3552,3004,2546,2803,3597,4568,4295,3886,3446,2839,2134,1069,545,6,67028
,Licences féminines,,124,6564,9319,4568,2011,1731,1286,1594,2231,2647,2236,1974,1452,1210,742,312,125,4,40130
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,286,14834,22357,11836,5563,4735,3832,4397,5828,7215,6531,5860,4898,4049,2876,1381,670,10,107158
122,FF de taekwondo et disciplines associées,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,447,10568,10044,4162,1243,1122,1244,1464,1532,1343,759,525,254,142,76,32,16,0,34973
,Licences féminines,,226,4899,5636,2838,707,814,903,1104,1037,808,402,231,94,82,44,12,9,0,19846
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,673,15467,15680,7000,1950,1936,2147,2568,2569,2151,1161,756,348,224,120,44,25,0,54819
123,FF de tennis,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2930,119917,163583,78037,22977,23947,28818,37514,47900,51960,36457,23698,17732,16548,13302,6637,3713,7,695677
,Licences féminines,,1486,51793,67897,32581,9211,10188,11666,16735,21449,21340,14579,10174,7430,6113,4445,1930,851,6,289874
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,4416,171710,231480,110618,32188,34135,40484,54249,69349,73300,51036,33872,25162,22661,17747,8567,4564,13,985551
124,FF de tennis de table,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,463,17893,46128,18273,6057,6276,7074,8990,9995,11700,10155,7792,6180,4695,3000,1344,1020,8,167043
,Licences féminines,,237,10419,12899,3500,1235,1182,1227,1391,1796,1844,1481,1149,853,576,365,146,91,3,40394
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,700,28312,59027,21773,7292,7458,8301,10381,11791,13544,11636,8941,7033,5271,3365,1490,1111,11,207437
125,FF de tir,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,3,695,5866,5166,5641,10598,14740,15243,17666,22771,21342,20151,18587,16943,13462,6656,4939,2,200471
,Licences féminines,,0,205,1627,2035,1079,1517,1791,1932,2239,2655,2426,2047,1568,1170,823,299,140,1,23554
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,3,900,7493,7201,6720,12115,16531,17175,19905,25426,23768,22198,20155,18113,14285,6955,5079,3,224025
126,FF de tir à l'arc,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,6,1653,11862,6995,1908,1896,2166,2497,3151,4035,3647,3504,3553,2779,1759,680,357,0,52448
,Licences féminines,,2,707,4865,3772,1021,1155,1098,1209,1452,1651,1406,1225,936,644,338,141,63,0,21685
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,8,2360,16727,10767,2929,3051,3264,3706,4603,5686,5053,4729,4489,3423,2097,821,420,0,74133
127,FF de triathlon,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,1061,3791,3368,1556,2695,3829,4435,5686,6157,4112,2258,916,414,164,40,10,1,40493
,Licences féminines,,0,683,2407,1774,791,1215,1193,1261,1606,1608,1046,512,159,59,20,8,3,0,14345
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,Sous/Total,,0,1744,6198,5142,2347,3910,5022,5696,7292,7765,5158,2770,1075,473,184,48,13,2,54839
128,FF de voile,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,926,28931,44590,16496,4355,3420,4029,4437,5790,7177,6912,6705,5786,4467,2929,1052,475,12,148489
,Licences féminines,,668,20938,31747,11638,2736,1892,1863,2008,2376,2497,2264,1915,1288,779,404,108,57,9,85187
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6992,6992
,Sous/Total,,1594,49869,76337,28134,7091,5312,5892,6445,8166,9674,9176,8620,7074,5246,3333,1160,532,7013,240668
129,FF de volleyball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,307,3629,9266,9631,4321,5006,5227,4991,4587,3512,2022,1197,837,552,315,104,43,5,55552
,Licences féminines,,233,3309,12095,12934,4107,4524,3759,3469,2598,1264,653,356,203,147,59,24,16,2,49752
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,540,6938,21361,22565,8428,9530,8986,8460,7185,4776,2675,1553,1040,699,374,128,59,7,105304
131,FF de hockey sur glace,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,129,4160,3894,2136,1109,1373,1661,1485,1295,973,554,284,194,94,42,18,9,0,19410
,Licences féminines,,22,526,388,254,159,154,146,201,257,204,113,63,34,23,10,1,4,0,2559
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,151,4686,4282,2390,1268,1527,1807,1686,1552,1177,667,347,228,117,52,19,13,0,21969
132,FF de golf,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,421,8338,13507,9206,6150,8035,11747,15536,18981,24956,26293,27744,32903,38389,33024,15628,8928,2,299788
,Licences féminines,,162,3597,5223,2620,1341,1550,2088,2892,4449,7286,10124,13069,16368,18567,14676,6160,2766,0,112938
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,583,11935,18730,11826,7491,9585,13835,18428,23430,32242,36417,40813,49271,56956,47700,21788,11694,2,412726
133,FF de rugby,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,41917,64317,50244,28667,26834,21189,16525,14166,14077,8946,6023,4679,3705,2398,841,333,7,304868
,Licences féminines,,0,2103,3910,6593,3599,3481,2203,1949,1892,1649,1095,642,385,277,155,38,14,0,29985
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,44020,68227,56837,32266,30315,23392,18474,16058,15726,10041,6665,5064,3982,2553,879,347,7,334853
134,FF de karaté et arts martiaux affinitaires,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,927,37311,37971,17745,5740,5720,6775,8719,10369,10673,7888,5976,4176,2522,1211,405,203,45,164376
,Licences féminines,,479,16682,20677,11425,3434,3728,4303,5521,6079,5691,3995,2665,1693,1175,712,246,178,29,88712
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total ,,1406,53993,58648,29170,9174,9448,11078,14240,16448,16364,11883,8641,5869,3697,1923,651,381,74,253088
135,FF de la montagne et de l'escalade,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,84,6587,12288,7642,2427,3992,4752,4961,4312,3534,2432,1880,1250,726,372,104,42,0,57385
,Licences féminines,,92,6192,13582,6377,1651,3073,3236,2869,2275,1706,1206,899,525,309,141,36,17,1,44187
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total ,,176,12779,25870,14019,4078,7065,7988,7830,6587,5240,3638,2779,1775,1035,513,140,59,1,101572
136,FF de roller sports,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,134,5388,7552,3056,1387,1734,2261,2424,2070,1726,1078,618,385,254,128,27,15,0,30237
,Licences féminines,,155,8591,12867,3146,1224,1890,1805,1784,1592,1178,627,335,226,126,51,19,2,0,35618
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total ,,289,13979,20419,6202,2611,3624,4066,4208,3662,2904,1705,953,611,380,179,46,17,0,65855
137,FF de surf,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,25,957,2699,1888,468,476,540,700,851,845,517,285,120,50,26,7,4,0,10458
,Licences féminines,,14,576,1670,1275,264,279,256,325,415,331,164,80,32,18,5,0,0,0,5704
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total ,,39,1533,4369,3163,732,755,796,1025,1266,1176,681,365,152,68,31,7,4,0,16162
138,FF de baseball et de softball,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,23,1091,2586,2044,1123,1213,1283,1085,837,651,230,102,55,32,25,11,2,0,12393
,Licences féminines,,2,204,495,512,344,349,333,302,220,115,62,35,11,10,7,1,0,0,3002
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total ,,25,1295,3081,2556,1467,1562,1616,1387,1057,766,292,137,66,42,32,12,2,0,15395
