Codes Fédé,Fédérations françaises agréées en 2018,Obs,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 ans et plus,Non renseigné,TOTAL
,Sous/Total,,637,4810,4763,2414,1223,1506,2109,2842,3293,3571,3575,3496,4116,4438,3109,1327,910,81,48220
408,F sportive et culturelle de France,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2469,11360,11014,5898,3121,3913,3969,3296,2845,2936,2467,2144,1983,1995,1520,732,604,14,62280
,Licences féminines,,3506,39882,40977,15839,4320,3429,3909,5256,5740,5910,4990,4564,4620,4936,3577,1759,1371,5,154590
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,5975,51242,51991,21737,7441,7342,7878,8552,8585,8846,7457,6708,6603,6931,5097,2491,1975,19,216870
409,F sportive et culturelle Maccabi,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,0,505,2554,1607,435,247,166,141,154,162,124,150,108,76,38,28,37,6532
,Licences féminines,,0,0,76,281,250,91,77,31,47,85,81,108,80,75,59,24,10,5,1380
,Licences non réparties,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
,Sous/Total,,0,0,581,2836,1857,526,324,197,188,239,243,232,230,183,135,62,38,43,7914
410,F sportive et gymnique du travail,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1930,11223,10139,7191,7014,12387,14260,12709,9320,8019,6470,5500,4609,3938,2539,1105,771,1887,121011
,Licences féminines,,2331,12915,12350,5928,3561,5702,6889,7255,6527,6036,5044,4627,4443,3855,2596,1235,861,6438,98593
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28201,28201
,Sous/Total,,4261,24138,22489,13119,10575,18089,21149,19964,15847,14055,11514,10127,9052,7793,5135,2340,1632,36526,247805
411,F sportive de la police française,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2,0,1,96,1090,1620,1882,2543,3711,2829,1388,637,190,95,50,13,6,3,16156
,Licences féminines,,2,0,1,32,330,472,442,635,702,485,207,142,56,10,4,1,1,2,3524
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,4,0,2,128,1420,2092,2324,3178,4413,3314,1595,779,246,105,54,14,7,5,19680
413,Union française des œuvres laïques d'éducation physique (UFOLEP),,,,,,,,,,,,,,,,,,,,
,Licences masculines,,2202,15771,16936,11339,6884,8374,9948,11301,12019,12956,11281,9744,8964,8144,5361,2117,1266,35,154642
,Licences féminines,,3264,30870,31606,12546,4481,4944,5951,8029,8994,9796,9294,9237,10316,11023,7016,3092,1992,111,172562
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9303,9303
,Sous/Total,,5466,46641,48542,23885,11365,13318,15899,19330,21013,22752,20575,18981,19280,19167,12377,5209,3258,9449,336507
415,FF omnisports des personneles de l'éducation nationale et jeunesse et sports (2F OPEN-JS),,,,,,,,,,,,,,,,,,,,
,Licences masculines,,12,3,14,18,47,119,141,179,179,203,171,155,280,617,694,543,372,2,3749
,Licences féminines,,14,1,3,5,12,32,25,45,45,59,76,111,456,1210,1482,1129,786,1,5492
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,26,4,17,23,59,151,166,224,224,262,247,266,736,1827,2176,1672,1158,3,9241
417,Union nationale sportive Léo Lagrange,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,430,1614,1767,1025,395,465,520,622,614,643,547,569,740,859,773,399,343,17,12342
,Licences féminines,,397,1951,2144,1197,316,543,765,900,962,1142,1190,1356,1772,1977,1553,757,582,34,19538
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,827,3565,3911,2222,711,1008,1285,1522,1576,1785,1737,1925,2512,2836,2326,1156,925,51,31880
418,FF du sport d'entreprise,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,28,17,11,85,721,1690,1507,1112,932,820,677,563,361,183,129,41,21,0,8898
,Licences féminines,,10,0,4,27,175,469,400,433,377,335,277,251,174,80,27,12,5,0,3056
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,38,17,15,112,896,2159,1907,1545,1309,1155,954,814,535,263,156,53,26,0,11954
420,F sportive des ASPTT,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1130,13974,17050,10326,5329,6729,7929,8305,8214,8890,7144,6249,6169,5745,3760,1705,1022,19,119689
,Licences féminines,,878,8000,9717,6480,3365,4806,4926,5706,6148,6529,5887,5519,5843,5329,3393,1259,651,11,84447
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,2008,21974,26767,16806,8694,11535,12855,14011,14362,15419,13031,11768,12012,11074,7153,2964,1673,30,204136
501,FF handisport,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,25,334,1007,1390,1326,1399,1540,1464,1473,1610,1500,1411,1249,968,554,242,170,2,17664
,Licences féminines,,29,223,482,687,594,646,679,625,656,764,740,726,572,477,294,114,181,0,8489
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,54,557,1489,2077,1920,2045,2219,2089,2129,2374,2240,2137,1821,1445,848,356,351,2,26153
503,FF du sport adapté,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,524,2893,5149,3386,3604,3245,2989,2514,2707,2441,1962,1320,791,337,101,44,0,34007
,Licences féminines,,0,233,1145,2070,1443,1767,1550,1709,1313,1466,1465,1250,875,523,223,73,33,0,17138
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,465
,Sous/Total,,0,757,4038,7219,4829,5371,4795,4698,3827,4173,3906,3212,2195,1314,560,174,77,465,51610
601,FF du sport universitaire,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,19,0,3,12979,56830,5370,667,424,455,378,319,250,208,78,50,15,6,11,78062
,Licences féminines,,18,0,1,7578,30021,2193,280,135,127,88,96,76,38,14,7,2,1,4,40679
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,37,0,4,20557,86851,7563,947,559,582,466,415,326,246,92,57,17,7,15,118741
602,Fédération Sportive Educative de l'Enseignement Catholique (UGSEL),,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,106,228018,136953,0,0,0,0,0,0,0,0,0,0,0,0,0,148756,513833
,Licences féminines,,0,64,217884,143994,0,0,0,0,0,0,0,0,0,0,0,0,0,151891,513833
,Licences non réparties,,0,45339,12237,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57588
,Sous/Total,,0,45509,458139,280959,0,0,0,0,0,0,0,0,0,0,0,0,0,300647,1085254
603,Union nationale des clubs universitaires,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,1034,9453,8422,4827,3641,2225,1556,1168,1119,955,766,581,406,297,273,106,75,172,37076
,Licences féminines,,788,5799,4219,2797,2036,1396,736,596,600,601,496,397,318,228,179,77,41,108,21412
,Licences non réparties,,0,2,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,8
,Sous/Total,,1822,15254,12641,7624,5677,3622,2294,1765,1719,1557,1262,978,724,525,452,183,116,281,58496
604,Union nationale du sport scolaire,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,0,184,370620,316171,7114,158,49,13,0,0,0,0,0,0,0,0,0,0,694309
,Licences féminines,,0,116,286831,197972,2787,78,47,10,0,0,0,0,0,0,0,0,0,0,487841
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,0,300,657451,514143,9901,236,96,23,0,0,0,0,0,0,0,0,0,0,1182150
605,Union sportive de l'enseignement du premier degré,,,,,,,,,,,,,,,,,,,,
,Licences masculines,,18208,202240,126501,613,226,427,750,1546,2089,1874,1416,1681,1017,845,671,312,298,27648,388362
,Licences féminines,,17796,194009,119674,847,453,1583,3007,5544,6578,5812,3945,3160,1369,1060,841,404,447,23747,390276
,Licences non réparties,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sous/Total,,36004,396249,246175,1460,679,2010,3757,7090,8667,7686,5361,4841,2386,1905,1512,716,745,51395,778638
